additional_info,attachment_count,attachment_download_errors,attachment_links,attachments_dir,bankruptcy_trustee,case_details,contact_info,deadline_info,detail_processing_failed,detail_url,extraction_date,jurisdiction,jurisdiction_full,links,notice_content,notice_date,notice_title,page_number,row_number,sequence_number,view_count
"{""매각기관"": ""채무자 주식회사 팀일렉트로닉스의 파산관재인 최효종"", ""관할법원"": ""서울회생법원"", ""제목"": ""파산재단 재고자산 일괄매각 공고"", ""작성일"": ""2025.08.13"", ""첨부파일"": ""2024하합101142 자산매각공고문.pdf"", ""전화번호"": ""070-8807-9038""}",1,0,"[{""type"": ""javascript_download"", ""file_id"": ""1755053195893_114635.pdf"", ""display_name"": ""2024하합101142 자산매각공고문.pdf"", ""link_text"": ""2024하합101142 자산매각공고문.pdf"", ""href"": ""javascript:download('1755053195893_114635.pdf','2024하합101142 자산매각공고문.pdf')""}, {""type"": ""direct_link"", ""href"": ""javascript:download('1755053195893_114635.pdf','2024하합101142 자산매각공고문.pdf')"", ""link_text"": ""2024하합101142 자산매각공고문.pdf"", ""file_extension"": "".pdf""}]",downloads/notice_405_파산재단 재고자산 일괄매각 공고,채무자 주식회사 팀일렉트로닉스의 파산관재인 최효종,2024하합101142,번호,,,https://www.scourt.go.kr/portal/notice/realestate/RealNoticeView.work?pageIndex=1&bub_cd=&searchWord=&searchOption=&seq_id=29887,2025-08-13T14:46:26.141830,서울회생법원,대법원,"[{""text"": ""파산재단 재고자산 일괄매각 공고"", ""href"": ""/portal/notice/realestate/RealNoticeView.work?pageIndex=1&bub_cd=&searchWord=&searchOption=&seq_id=29887""}]",공고 게시판 공고 게시판 2012.09.26 이후 공고게시판 글 상세보기 매각기관 채무자 주식회사 팀일렉트로닉스의 파산관재인 최효종 관할법원 서울회생법원 제목 파산재단 재고자산 일괄매각 공고 조회수 199 작성일 2025.08.13 공고만료일 2025.09.08 첨부파일 2024하합101142 자산매각공고문.pdf 전화번호 070-8807-9038 목록,2012.09.26,파산재단 재고자산 일괄매각 공고,1,1,405,199
,,,,,채무자 주식회사 옐로플라스틱 파산관재인 오병국,,,,True,,2025-08-13T14:46:23.495715,서울회생법원,,"[{""text"": ""환가포기 공고(자동차)"", ""href"": ""/portal/notice/realestate/RealNoticeView.work?pageIndex=1&bub_cd=&searchWord=&searchOption=&seq_id=29886""}]",,,환가포기 공고(자동차),1,2,404,271
"{""매각기관"": ""채무자 주식회사 이엘파크의 파산관재인 박광영"", ""관할법원"": ""서울회생법원"", ""제목"": ""파산재단 자산 매각(포기) 공고"", ""작성일"": ""2025.08.13"", ""첨부파일"": ""2024하합101100 자산 매각(포기) 공고문_.pdf"", ""전화번호"": ""02-3478-0341""}",1,0,"[{""type"": ""javascript_download"", ""file_id"": ""1755052081941_112801.pdf"", ""display_name"": ""2024하합101100 자산 매각(포기) 공고문_.pdf"", ""link_text"": ""2024하합101100 자산 매각(포기) 공고문_.pdf"", ""href"": ""javascript:download('1755052081941_112801.pdf','2024하합101100 자산 매각(포기) 공고문_.pdf')""}, {""type"": ""direct_link"", ""href"": ""javascript:download('1755052081941_112801.pdf','2024하합101100 자산 매각(포기) 공고문_.pdf')"", ""link_text"": ""2024하합101100 자산 매각(포기) 공고문_.pdf"", ""file_extension"": "".pdf""}]",downloads/notice_403_파산재단 자산 매각(포기) 공고,채무자 주식회사 이엘파크의 파산관재인 박광영,2024하합101100,번호,,,https://www.scourt.go.kr/portal/notice/realestate/RealNoticeView.work?pageIndex=1&bub_cd=&searchWord=&searchOption=&seq_id=29885,2025-08-13T14:46:31.116679,서울회생법원,대법원,"[{""text"": ""파산재단 자산 매각(포기) 공고"", ""href"": ""/portal/notice/realestate/RealNoticeView.work?pageIndex=1&bub_cd=&searchWord=&searchOption=&seq_id=29885""}]",공고 게시판 공고 게시판 2012.09.26 이후 공고게시판 글 상세보기 매각기관 채무자 주식회사 이엘파크의 파산관재인 박광영 관할법원 서울회생법원 제목 파산재단 자산 매각(포기) 공고 조회수 128 작성일 2025.08.13 공고만료일 2025.09.08 첨부파일 2024하합101100 자산 매각(포기) 공고문_.pdf 전화번호 02-3478-0341 목록,2012.09.26,파산재단 자산 매각(포기) 공고,1,3,403,128
,,,,,채무자 망 박비희 상속재산의 파산관재인 육근우,,,,True,,2025-08-13T14:46:23.495832,서울회생법원,,"[{""text"": ""토지 매각 공고"", ""href"": ""/portal/notice/realestate/RealNoticeView.work?pageIndex=1&bub_cd=&searchWord=&searchOption=&seq_id=29884""}]",,,토지 매각 공고,1,4,402,200
"{""번호"": ""관할법원"", ""405"": ""서울회생법원"", ""404"": ""서울회생법원"", ""403"": ""서울회생법원"", ""402"": ""서울회생법원"", ""401"": ""서울회생법원"", ""400"": ""서울회생법원"", ""399"": ""대전지방법원"", ""398"": ""수원회생법원"", ""397"": ""수원회생법원"", ""396"": ""대전지방법원""}",0,0,[],downloads/notice_401_자산(PC 등) 매각 공고,채무자 주식회사 포레스트256 파산관재인 임대섭,법원보관금조회,02)3480-1100 | 홈페이지 이용 문의 02)3480-1715(평일9시~18시)  | 인터넷등기 사용자지원센터 1544-0770,,,https://www.scourt.go.kr/portal/notice/realestate/RealNoticeList.work,2025-08-13T14:46:35.990925,서울회생법원,대법원,"[{""text"": ""자산(PC 등) 매각 공고"", ""href"": ""/portal/notice/realestate/RealNoticeView.work?pageIndex=1&bub_cd=&searchWord=&searchOption=&seq_id=29883""}]",공고 게시판 공고 게시판 법원 선택 법원을 선택해주세요 ------------ 서울중앙지방법원 서울회생법원 의정부지방법원 인천지방법원 수원지방법원 수원회생법원 춘천지방법원 춘천지방법원 강릉지원 대전지방법원 청주지방법원 대구지방법원 부산지방법원 부산회생법원 울산지방법원 창원지방법원 광주지방법원 전주지방법원 제주지방법원 선택 검색어 입력 검색 공고게시판 목록 번호 관할법원 매각기관 제목 조회 405 서울회생법원 채무자 주식회사 팀일렉트로닉스의 파산관재인 최효종 파산재단 재고자산 일괄매각 공고 199 404 서울회생법원 채무자 주식회사 옐로플라스틱 파산관재인 오병국 환가포기 공고(자동차) 271 403 서울회생법원 채무자 주식회사 이엘파크의 파산관재인 박광영 파산재단 자산 매각(포기) 공고 128 402 서울회생법원 채무자 망 박비희 상속재산의 파산관재인 육근우 토지 매각 공고 200 401 서울회생법원 채무자 주식회사 포레스트256 파산관재인 임대섭 자산(PC 등) 매각 공고 161 400 서울회생법원 채무자 주식회사 포레스트256 파산관재인 임대섭 자산(집기비품 및 PC 등) 매각 공고 81 399 대전지방법원 채무자 주식회사 한호농업회사법인의 파산관재인 이향선 파산재단 자산 매각공고(채권) 73 398 수원회생법원 채무자 망 김장환 상속재산의 파산관재인 공인회계사 성진호 자산매각공고 293 397 수원회생법원 채무자 주식회사 일성인터내셔널의 파산관재인 변호사 강종훈 자산매각공고 257 396 대전지방법원 채무자 홍기순의 파산관재인 박영수 파산재단 자산 매각공고(부동산) 300 처음 페이지 이전 페이지 1 2 3 4 5 다음 페이지 마지막 페이지,,자산(PC 등) 매각 공고,1,5,401,161
,,,,,채무자 주식회사 포레스트256 파산관재인 임대섭,,,,True,,2025-08-13T14:46:23.495927,서울회생법원,,"[{""text"": ""자산(집기비품 및 PC 등) 매각 공고"", ""href"": ""/portal/notice/realestate/RealNoticeView.work?pageIndex=1&bub_cd=&searchWord=&searchOption=&seq_id=29882""}]",,,자산(집기비품 및 PC 등) 매각 공고,1,6,400,81
,,,,,채무자 주식회사 한호농업회사법인의 파산관재인 이향선,,,,True,,2025-08-13T14:46:23.495974,대전지방법원,,"[{""text"": ""파산재단 자산 매각공고(채권)"", ""href"": ""/portal/notice/realestate/RealNoticeView.work?pageIndex=1&bub_cd=&searchWord=&searchOption=&seq_id=29881""}]",,,파산재단 자산 매각공고(채권),1,7,399,73
,,,,,채무자 망 김장환 상속재산의 파산관재인 공인회계사 성진호,,,,True,,2025-08-13T14:46:23.496020,수원회생법원,,"[{""text"": ""자산매각공고"", ""href"": ""/portal/notice/realestate/RealNoticeView.work?pageIndex=1&bub_cd=&searchWord=&searchOption=&seq_id=29880""}]",,,자산매각공고,1,8,398,293
,,,,,채무자 주식회사 일성인터내셔널의 파산관재인 변호사 강종훈,,,,True,,2025-08-13T14:46:23.496065,수원회생법원,,"[{""text"": ""자산매각공고"", ""href"": ""/portal/notice/realestate/RealNoticeView.work?pageIndex=1&bub_cd=&searchWord=&searchOption=&seq_id=29879""}]",,,자산매각공고,1,9,397,257
,,,,,채무자 홍기순의 파산관재인 박영수,,,,True,,2025-08-13T14:46:23.496111,대전지방법원,,"[{""text"": ""파산재단 자산 매각공고(부동산)"", ""href"": ""/portal/notice/realestate/RealNoticeView.work?pageIndex=1&bub_cd=&searchWord=&searchOption=&seq_id=29878""}]",,,파산재단 자산 매각공고(부동산),1,10,396,300
